numero;cidade;bairro;endereco;tipo;area;quartos;preco;avaliacao;desconto;economia;modalidade;aceita_financiamento;aceita_fgts;link;edital;matricula;descricao
8787716620441;Araucária;Capela Velha;RUA PELICANO, N. 1155, Apto 731, BLOCO 07, 3º PAVIMENTO, VAGA 95;Apartamento;61.95;2;153688.43;251000.0;38.77;97311.57;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716620441;https://venda-imoveis.caixa.gov.br/editais/EA00170326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787716620441.pdf;Apartamento, 72.39 de área total, 61.95 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8787715985985;Campo Largo;Ouro Verde;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 304, TIPO 15 PV 03 BL 15 VG 412;Apartamento;40.31;2;145103.22;236978.86;38.77;91875.64;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715985985;https://venda-imoveis.caixa.gov.br/editais/EA00240326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787715985985.pdf;Apartamento, 46.02 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8787716013782;Campo Largo;Ouro Verde;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 404, TIPO 15 BL 15 VG 420;Apartamento;40.31;2;162260.69;265000.0;38.77;102739.31;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716013782;https://venda-imoveis.caixa.gov.br/editais/EA00240326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787716013782.pdf;Apartamento, 46.02 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8787716933091;Campo Largo;Ouro Verde;RUA CAETANO MUNHOZ DA ROCHA, N. 1080, Apto 202, BL 04;Apartamento;40.0;2;156749.95;256000.0;38.77;99250.05;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716933091;https://venda-imoveis.caixa.gov.br/editais/EA00220326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787716933091.pdf;Apartamento, 45.67 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8787715858002;Curitiba;Santa Candida;RUA PEDRO KACHEL, N. 81, Apto 402, BLOCO 01, VAGA 42;Apartamento;41.6;2;165322.22;270000.0;38.77;104677.78;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715858002;https://venda-imoveis.caixa.gov.br/editais/EA00200326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787715858002.pdf;Apartamento, 49.15 de área total, 41.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8444430740965;Curitiba;Agua Verde;RUA RIO GRANDE DO SUL, N. 907, Apto 14B, BL B;Apartamento;48.13;2;171445.26;280000.0;38.77;108554.74;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430740965;https://venda-imoveis.caixa.gov.br/editais/EA00180326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8444430740965.pdf;Apartamento, 59.43 de área total, 48.13 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.
8787714335693;Fazenda Rio Grande;Estados;RUA JAGUARIAIVA, N. 2109, CASA 275;Casa;42.0;2;146953.08;240000.0;38.77;93046.92;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714335693;https://venda-imoveis.caixa.gov.br/editais/EA00170326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787714335693.pdf;Casa, 42.00 de área total, 42.00 de área privativa, 78.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.
8787714993259;Fazenda Rio Grande;Estados;RUA JAGUARIAIVA, N. 2109, CS 67;Casa;42.0;2;155963.07;254714.88;38.77;98751.81;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714993259;https://venda-imoveis.caixa.gov.br/editais/EA00220326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787714993259.pdf;Casa, 42.00 de área total, 42.00 de área privativa, 78.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.
8787716737225;Fazenda Rio Grande;Estados;RUA JAGUARIAIVA, N. 2109, CS 149 LT 24-A GLEBA B;Casa;42.0;;144503.86;236000.0;38.77;91496.14;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716737225;https://venda-imoveis.caixa.gov.br/editais/EA00140326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787716737225.pdf;Casa, 0.00 de área total, 42.00 de área privativa, 78.00 de área do terreno.
1444414053667;Campo do Tenente;Bela Vista;RUA GALDINO ARRUDA, N. 85, QD 02 LT 31;Casa;51.0;2;98816.7;160000.0;38.24;61183.3;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414053667;https://venda-imoveis.caixa.gov.br/editais/EA00240326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/1444414053667.pdf;Casa, 51.00 de área total, 51.00 de área privativa, 576.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.
8444417549572;Curitiba;Campo De Santana;RUA ALDA BASSETTI BERTHOLDI, N. 1710, CS 02;Casa;36.49;;104992.75;170000.0;38.24;65007.25;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417549572;https://venda-imoveis.caixa.gov.br/editais/EA00220326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8444417549572.pdf;Casa, 36.49 de área total, 36.49 de área privativa, 67.50 de área do terreno.
1444417159547;Fazenda Rio Grande;Nacoes;RUA SERVIA, N. SN, 128;Casa;38.6;2;103139.93;167000.0;38.24;63860.07;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417159547;https://venda-imoveis.caixa.gov.br/editais/EA00170326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/1444417159547.pdf;Casa, 39.77 de área total, 38.60 de área privativa, 108.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
1787700557135;Almirante Tamandaré;Bonfim;RUA ALFREDO DE ANDRADE, N. 75, Apto 101, BLOCO 33, VAGA 919;Apartamento;40.31;2;115813.89;184000.0;37.06;68186.11;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700557135;https://venda-imoveis.caixa.gov.br/editais/EA00200326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/1787700557135.pdf;Apartamento, 45.88 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8555518325604;Araucária;Campina Da Barra;RUA PROFESSORA MARIA NASSAR SCHAUSTEK, N. 1160, LOTE 07, QUADRA 01;Casa;50.1;2;118961.0;189000.0;37.06;70039.0;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555518325604;https://venda-imoveis.caixa.gov.br/editais/EA00190326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8555518325604.pdf;Casa, 50.10 de área total, 50.10 de área privativa, 69.70 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.
8787701955078;Campo Largo;Jardim Itaqui;RUA MARIA JOAQUINA VAZ, N. SN, Apto 102, BL 35;Apartamento;40.0;2;119590.43;190000.0;37.06;70409.57;Venda Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701955078;;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787701955078.pdf;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
1444414235560;Colombo;Campo Pequeno;RUA GUILHERME RODBARD, N. 139, Apto 12, PAV TÉR, LT 18, QD 01, PLANTA OURO VER;Apartamento;55.06;2;128402.35;204000.0;37.06;75597.65;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414235560;https://venda-imoveis.caixa.gov.br/editais/EA00170326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/1444414235560.pdf;Apartamento, 63.98 de área total, 55.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8555518647563;Curitiba;Uberaba;AVENIDA COMENDADOR FRANCO, N. 8340, Apto 11, BL B17;Apartamento;40.01;2;119590.43;190000.0;37.06;70409.57;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555518647563;https://venda-imoveis.caixa.gov.br/editais/EA00190326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8555518647563.pdf;Apartamento, 44.95 de área total, 40.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.
